t,u1,u2,u3,f1,f2
1.5705235,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5738579,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5771923,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5805268,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5838612,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5871956,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5905302,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5938646,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.597199,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.6005335,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
